topic	katarite	episode
resource/tutaeru	df03	わたしの会社の人には、伝えています。１カ月半に１回とか病院に連れて行かなきゃいけなかったりとかするのと、あと、やっぱり、基本的には、出張とかで泊まりの出張とかはしないようにしているので、そういうのを分かっていただくためにも、上司とか、社長にも全部言ってますし。わたし、実は転職してそこの会社に行ったんですけど、入るときにそれも言って入ってます。友達にも、あの、すごく仲のいい子にも言っているし、家族というか、わたしの兄弟とかも知っていますし。亡くなった奥さんのほうの親戚も知っています。だから、変に隠さないほうがみんな面倒みてくれるし、そういうことを分って、例えば、ちょっと何かあっても、病気だからっていうので許してもらえたりとか、逆にサポートしてもらえるんで、言っても大丈夫な人には、言っちゃったほうが気が楽ですよね。まあ、あとは、そのご家族のそれぞれの事情もあるとは思うんですけど。うちは、別に隠しておく事情もないので、言っちゃってますけど。
to-be-patient/shigoto	df03	―― 最初の診断のときには、職場の方もいらしたっていうことで。そうなんですよ、そうなんです。―― その状況と、その後のその職場の方の対応っていうか、仕事でどういうふうになったかとか。そうですね、そのときが59歳のときだったんです。定年まであと１年ちょっとだったんですけど、あのー、ほんとに、主人はラッキーだと思うし、結構、愛される人なんだろうと思うんですけど、職場では、定年までは、みんなで面倒みてくれました。あのー、その病院につきそってくれた方もそうなんですけど、主人って、配置転換になって、ま、ほんと、作業的な仕事になってしまったんですけど。でも、それでも、隣でちゃんと、こう、親切に教えてくれたりとか。私にこう…いろいろ情報、メールくれる方とかがいらして、家族と職場のその方とのコミュニケーションをとりながら、あとの１年数カ月を全うすることができたんですね。だから、ほんとに周りの方がいい人ばっかりで。で、１人の人は、なぜそうしてくれたかっていうと、かつて主人が、その方が若いころに新規で立ちあげたプロジェクトみたいな担当になったときに助けたみたいなんです、いろいろ。なので、「あのころ助けてもらったんで、今、わたしは恩返しするときだと思うので、定年まで、しっかりお世話させていただきます」って言ってくださって。わたしたち、ほんとにラッキーだと思うんですね。ここに今ずっとありますけど、これ、定年のときにもらった表彰、感謝状と時計なんですよ。…記念品、だから、それだけでも、すごい、ありがたいんですよね。
to-be-patient/shigoto	df03	できることはいっぱいあるんですよ。まだ字も書けるし、例えば、簡単な作業だったら全くできるわけなので、就労の場っていうのを、若年性の方って、まだ、体は元気だと思うので、何かできないのかなと。就労の場はあるんですが、報酬としてないんですよね。で、うちに関していうと、あの、報酬がなくてもそういう場がほしいっていうのは、確かなんですけど。でも、現実を考えると、時給300円でも200円でも、その対価っていうのがもらえるような作業でいいので、就労の場を、デイケアと別にできればいいなと。デイケアに行く前の、もっと、初期の段階であれば全然できると思うんですよ。で、ここで就労させることによって、デイケアとか施設に行く時間を遅らせることができると思うので、ほんとに、そういうことが若年性の認知症の場合には遅れていると思いますね。うちも、あの、今、たまたま、その家族会のお手伝いさせていただいていますけど、すごく助かっています、もう。…別に報酬がなくても、それをやることによって、やっぱり人と接したり楽しかったり役に立っているという気持ちが起きるわけなので、そこで働いて帰ってくるときの携帯電話の声って違うんですよ。すごい明るいし、張りがあるんですね。だから、きっとほかの人もそういう場を、…あの、作ることによって、進むのを１日でも遅らせることができるんじゃないかなってすごく思うので、そこをぜひ、何かこう取り組んでいただけることがあればお願いしたいなっていう。
to-be-carer/kimoti	df03	診断の告知というのが、うちの場合は、本人と会社の方と私といる前で、いきなり言われたんですよ、市立病院からは。で、あの、普通だったら、ま、「ご家族だけにしますか」とか、「本人はどうしますか」とか、聞いてから告知するんですけど、いきなり、もう3人の目の前で、ぱって「若年性アルツハイマーですね」って言われたんで、みんな、準備がない状況で（笑）。で、若年性アルツハイマーっていうこと自体も、そんなに、自分たちまさかって思うようなところがあって、知らなかったので、でも、うすうす認知症だなっていうのは分っていて。帰ってからいろんな、あの、ネットで見たり、書籍で、調べたり、友達とかに聞いたりとかして。それはもう治らない病気で、ま、そのころね、テレビも多かったんですよ、それに関する、えーと、いろんな番組特集でやられていたりとかしてたので、で、どうしてもテレビとか見ていると、とても、すごい大変なとこしか映らないじゃないですか。だから、ああなるんだろうなと思うと、もう、何かほんとにどうしていいか分らなくて、で、まさかっていう感じ。で、自分、あの、主人の将来のこともそうですけど、子どもたちのことも考えたり、あと、ま、自分もどうしたらいいんだろうっていうところになって、毎日、ほんと、すごい後ろ向きな感じで、うつのように、ほんと、何でしょう、ご飯も食べれないし、何か吐きそうになっちゃったりとかして、ほんとに、おとうさん、あ、主人に対しても、毎日、めそめそしていたんです、私。うーん、それが、やっぱり、１カ月ぐらいありましたかね、うん。―― どのくらいの期間がそこには必要、人それぞれかと思うんですけど。やっぱり1年ぐらいですかねー。あの、特に一番、自分としてつらかったのは、告知されてから、私、3カ月はすごいつらかったですね。でも、いろんな出会いがあって、乗り越えられて今すごく割りと普通のペースになったのは、1年ぐらい前だと思うので、1年ぐらいは、やっぱりいろいろばたばたしていましたね、うーん。…逆にあれかもしれないです、こもらないほうがいいかもしれないです、家に。そういうことがあっても、…ほんとに前向きに外に出て行っていろんなところに参加してみると、そこで開けてくることいっぱいあるなって思います。うち、割とオープンなので。
diagnosis/hajimari	df04	最初は気がついたの、本人なんで。私じゃないんです。本人がね、えっと2002年の11月ごろに、何かあの違和感を感じたということで、ある大学病院の精神科に通院してました。それが大体半年ぐらい通院してまして。その時に、その大学病院の精神科の先生が、｢うつ病ではないか｣と、という話だったんですけども。やっぱ、うつ病にしては薬が効かないし、何かちょっと症状も違うということで、｢よく分からない｣ということで、それで半年たったごろに、あの、先生から私に話がありまして、一緒に相談したいと。それで、ちょっと自分の病院では、ちょっと原因が分からないので、で、違う大学病院を紹介されました。だからその、うつという症状に近かったんだと思います。―― で、えっと、そのうつ、ご本人はその時のことをどんなふうに表現されているんでしょうか。うーん、｢何か変だな｣という感じで。やっぱり気がめいるし。あと、特にあの、そういう認知症の症状まだほとんどなかったんで、例えば記憶障害とか、そういうの全然なかったころなんで、でも、｢何か変だな｣というところがあったと思います。
diagnosis/kakaru	df04	ちょうどその時、妻のおふくろさんと同居をしてまして。おふくろさんが、その大学病院に入院してたんですけども、がんで。それが、がんの看病してたんですけども、本人が。その同じ大学病院で、精神科に通院してて。だから、最初やっぱりあの、看護疲れとか、やっぱりもう、結構しんどいがんだったんで、そのやっぱり影響かなという、最初は本人も、たぶん先生も思ったと思うんですよね。それでやっぱり、うつに、なったんじゃないかっていうことで、そういうのが、あったと思うんです。だから、認知症の障害としては、その先生、全然考えなかったらしいんですよね、まったく。想定してなかったらしい。だから、あくまでもその介護疲れ、看護疲れとか、そういう、ま、いろんなそういうので、やっぱりちょっとショック受けて、うつになったんじゃないかという診断を受けてます。でも、それだけじゃ、本人はなかったような、何か違うということがあったみたいで。で、いろんな検査とか、薬はうつ関係のいろいろな薬飲んでても、まったく改善しなかったらしい、しなかったんで。で、先生もやっぱ｢おかしいな｣ということだったみたいです。――　で、半年後に、そのご主人にちょっと相談があるって。はい。今までこういう経緯で、こういう検査して、こういう薬飲んだけれども、まったく効果ないんで、ちょっとうつ病ではないんだろう。違うんではないかと思うけれども、よく分からないので、自分のよく知ってる、もっと専門の先生を紹介したいんでってことで、一応紹介されました。―― その時はどのような検査とか、診断とか受けて・・・。ええとですね、まあもちろん、そういう神経、心理的ないろんな、さまざまなテストとか、あとは脳のもちろんSPECTから、MRIとか全部、脳のやっぱりいろんな検査をそこでして。で、3カ月ぐらいの検査の後に、実はアルツハイマー病（アルツハイマー型認知症）ではないかということで診断を受けました。
diagnosis/kakaru	df04	もう女房に言わせると、楽しくない、リハビリをね、一つ障害が出始めたら、その障害を少しでもね、ストップかけようかと思って。だから、その臨床心理士の方と、いろいろ相談しながら、だから、私もやっぱり、いろんな提案をするんですけども、いろんな調べた結果とか、あとまあグッズを買ったりとかして。まあ、例えばこういうグッズをこういうふうにリハビリに使えないかとか、そういうのを一応、いろいろ考えて、（臨床心理士の）先生に提案したりとかはしてました。で、それを忠実に、女房はちゃんとまあ、やってたんですけども、そのうち、だんだんそれに対してやっぱ抵抗するようになって。｢もうやりたくない｣と、こういうリハビリは。｢もうつらいから、したくない｣ってことで。で、女房の方からもう、｢やりたくない｣っていうのはあって、もうけんかになって、毎日けんかになってて。｢これ、やらないと駄目なんだ｣っていうことでね、けんかしてて。それでもう、その、リハビリやってるときは、やっぱりいつも、けんかばっかりしてました。それもやっぱり、非常にその、まあ、それもやめて…、もうほんとにけんかの連続で、｢やらないと進行するんだ｣ってことでね、強制的にやらして。それをだから、1年ぐらい。1年ちょっと続いたのかな。いろんな…いろんな、だから材料、まあ、その（臨床心理士の）先生と考えながら材料作りまして、（妻に課題を）与えて、訓練して。その繰り返しを、ずっと1年ぐらいやってました。それが一番苦痛だったらしくて、だから、（妻の）お母さんがやっぱ死んでから、本格的にリハビリ始めたんですよ。だから、お母さんの看病してるころは、やっぱりあの、なかなかそんなふうには、リハビリもそんながんがんはできなかったんで、亡くなってから、特に本格的にリハビリを始めました。まあ、でも1年間ぐらい、でも本当に、ギブアップしたんで。ついに、病気以上に病気（苦痛）になったんで、今度は。それで、やめました。だから、そのリハビリをやめるにあたっての、なかなか（臨床心理士の）先生にもう言えなくて。それは、どうやって先生に言おうかなと思っていたら、何か理由をつけようと思って。で、転院を考えたんです、こっそりと。で、｢リハビリをもうしたくない｣ってことを、なかなかその臨床心理の先生に言うのもちょっと、あんなにもう、僕が提案した、先生もいろんなこと考えてくれて、一緒に頑張ってやってたのに、すごい言い出しづらくて、やめる手として転院を考えたのも、一つの手なんで。
diagnosis/hiyaku	df04	アルツハイマーの治療というのは基本的にはないんで、まあ、あの、一応薬を、抗認知症薬をまず、日本でまだ認可されているのは１種類しかない*ので、その抗認知症薬を飲んで、あとは、いろいろしても、それしかないんですけども、やることがないんで。あとは、脳のやっぱりいろんなリハビリ、高次脳機能障害向けの、一応リハビリを臨床心理士の方が毎週、週２日とか３日やってくださいました。それが大体１年半ぐらい続いたっていう感じですよ。―― なるほど。その先生のところを移られたっていうきっかけは何かありましたか。ええっとですね。あの、脳のリハビリについて、やっぱ効果がないっていうことと、まったく効果が感じられないっていうことと、やる意味がまあ、ないんだろうって、僕は考えて。あと、それはやっぱり、結構ストレスになってきたんで。あの、脳のリハビリ、脳のトレーニングが。ちょっとやっぱ本人も、苦痛になってきたようなんで、それをちょっとやめたいっていうことと。あとはやっぱり、今度は新しく移った病院があの、若年性のアルツハイマーの専門外来だったんで、そこにやっぱり移って、もう１回ちょっと治療の方も考えたいなと思いまして、移りました。―― あの、脳のリハビリって、ちょっとイメージができないんですけど、具体的に言うとどんなことをするんでしょう。いや、私見てないんですよね。高次脳機能障害者向けの、何か脳トレーニングみたいな感じだったらしいんですけど、いろんな。ただ、まあ積み木をやったりとか、積み木とか、あとは絵合わせとか、何かまあ、そういういろんな物を道具とか、まあ使いながら、脳の機能回復訓練、機能回復訓練と同じようなことをやってると思うんですよね。*インタビューが行なわれた２０１０年５月の段階では、アリセプト以外の抗認知症薬は認可されていませんでした。
diagnosis/hiyaku	df04	あと、リハビリに、脳に対するリハビリはまったく今は、そういうのは考えてないんですね。本人がやっぱり苦痛ですから。苦痛のことはもうやめようと。それはもう、その二つの病院で、もうそこでもう完全に断ち切ったっていうことで、やめました。だから、あとは、何とか療法、何とか療法っていうのもいろいろあるのも、一応あれ、やってる人も結構多いんですけども、私はそれは、一切やってない。絵画療法とか例えば、音楽療法とか、まあいろいろね、園芸療法とかあるんですけども、そういうのはうちでは一切やってないです。だから、女房にとってのリハビリは、やっぱりスポーツクラブに通って運動するということと、あとは自分の一番得意でボランティアでやってた、あの朗読絵本を、子どものためにもう一遍、読み聞かせやってみようと。で、結構あの、読み聞かせやると、結構、反応が来るじゃないですか。｢おお、すばらしい｣っていう反応。それがもう、うれしくて。だからそれをいま糧（かて）に練習。練習はもう結構苦痛なんですけどね。でも、一応頑張るんです。そういうのがある、そういうのに関しては。だから、自分で頑張れる…本人は頑張りたくないんですって。日々の中ではいろんな何か、自分がもう駄目になったことに対しても、やっぱりやろうと、チャレンジ精神ももう持ってないんですよ、ほとんど。ただ、得意だった分野に関しては、もう、頑張ろうという気はあるみたいで。
diagnosis/hiyaku	df04	字は書けたんですね。３年前ぐらいまで。漢字は結構難しくなったんですけども、片仮名、平仮名は結構自由に書けたんで。で、いっとき、それ、まあ練習やったんですけども、まったく効果なくて駄目でした。漢字の練習、仮名の練習とか、あとは計算ドリルもやったんですけども、まったく効果なしで。ま、苦痛だけで終わって。だから、うちにいっぱいあります、本が。子ども向けの計算。まああとは、小学校１年、６年生駄目だったら５年生、５年生も駄目だったら４年生、いろいろ。あと、じゃあ、1,000円持って買い物に行きました、おつりはどうしますとか、何かいろんな、りんご何個買ったとか、あるじゃないですか。そういう問題集みたいのも買って、やってみたんですけども、だんだんとやっぱりレベルを下げていったんですけども、やっぱり難しい。あとはパズルとか、ジグソーパズルも、最初は結構、何100ピースもできたのが、最後はもう10ピースでも駄目になったとか。そういう、すごくはっきり見えてくるんです、そういうのが。あとは、ま、カルタで、漢字の偏とつくり、組み合わせて１個の字を作るとか、そういうカルタがあるんですよね。それも最初はうまくいくんだけど、だんだんとそれもやっぱり、まったくできなくなって。かんむりと偏と、何かを組み合わせれば、何の字ができるとか、そういうのもやってみたんですけども、やっぱり、それは……だから、なかなか不思議な病気だな、というのはそんときも…。本人はやっぱりすごくつらいんですけども…。だから、本人はやっぱり、一応できないっていうことを結構自覚してるんで。そういうときは、常に。やっぱり、そういう子ども向けのいろんな問題集とドリルと、やっぱりまあしたくないんで、だんだんとやっぱり気がめいってくる、やんない。
symptom/shinpai	df04	その時、ほとんど毎日、病院通いをしてたんで、まだ車の運転も、まだ一応やめさせないで、車の、病院までの運転は常にやってたんで。毎日通い、看病しに通って。あとは、そうですね。あとは自分の病院の通院と、それから…お母さんの看病と、看病しにやっぱ毎日通ってました。で、2003年、診断を受けてちょっと経った頃っていうのは、一番何かあの、波が、精神的に何か波が結構大きな頃で、結構、一番つらかったようで。かといって、看護しに毎日通うことはやめなかったんで、毎日通っていました。あと、車の運転もそうですね。やっぱりそのころまだやってて。先生がもう、車は、運転はそろそろやめてほしいっていうふうに一応言われたんですけども……。ま、取りあえずはやってました。で、免許証をやっぱり返上したの、やっぱ３年前です。更新のときに更新しなくて、返上しました、免許証も。運転はもうしてなかったんですけども、返上したのは３年前で。
resource/hibi	df04	これはあの、買い物、スーパーに買い物に行ったときに、あの、やっぱり物を探すとか、買った物が自分の物であるかどうかっていうのが、やっぱり判別が難しくなったときに、やっぱ、つい人の物を、あの、自分のバッグに入れそうになったとき、何かあったらしいんですって。あの、買い物したときに、テーブルの中で整理するじゃないですか、自分の買った物をバッグに詰めるときに。で、違う人もやっぱりやってる、テーブルに出してると、区別がつかなくなってくるときがあるんですって。自分の買った物なのか、人の買った物なのか。そのときに、やっぱり自分が病気だから間違うかもしれないってことを、やっぱり分かってもらうために、この札を下げるようになりました。一人で、あの、行動することが多かったんで、これがあるとやっぱり、何か道に迷ったとか、何か困ったときに、やっぱ助けてもらえるために、やっぱ自分があの、普通にすると、病気にやっぱ見えないんで。自分で、やっぱり病気であるっていうことを、やっぱり分かってもらった方が行動しやすいってことで、一応、ぶら下げながら、一人のときはやってもらってました。―― それは、ご自身の提案ですか、それともご主人の。私が作って、で、相談して、｢これを作ったけど、ぶら下げてほしい｣っていうことを言って、それで納得してくれて、やってます。だから、結構まあ、役に立ってます、これは。―― 外出のとき、自分でぶら下げるのを忘れられるっていうことは、それはないですか。あんまりなかったですね。常にあの、玄関にぶら下げてあるんでね。あんまり、習慣にしてあったみたいで。で、私と一緒のときは、これぶら下げないんです。自分一人のときだけですけども。だから、これやっぱり、ほかの人が何か、何だろうなと思って、何か見るらしいんですよね。そういうのはあります。これも作ったのは３年前です。やっぱり、いろんなことの障害が顕著になってきたのは、やっぱ３年前ぐらいからで。デイに、料理も３年前から、それから、ヘルパーさんを使い出したのもやっぱ３年前からです。―― ３年前というのは、発症から４年。４年、４年後。４、５年、４年後ですかね。３年前、そうですね。丸４年たったころからです。
resource/hibi	df04	今は思ってることは、あの……。あの、うち、病気以前から地域の中でボランティア活動やってたんで。あの、読み聞かせの、落語絵本っていうのがあって。読み聞かせをやってたんです。朗読絵。それを、病気になってからも今やってます、少しずつ。ちょっと見てね、言葉の何か記憶をよみがえらすみたい。だから、行を追ってないんですよね、今はまったく。だから、最初のこの絵と、絵と文字の雰囲気で、今何を読むかっていうのが、何か思い浮かぶみたい。みたいです。頭が分かる、何となく分かるんですって。だから、｢実際は読んでない｣とは言ってた、最近はね。読んでないんですって。そういうのがあります。で、去年はまあ何回か、大きなとこでもやってみた、やったんですけども、今年もまあ２回ぐらいやったのか、ちょっと大きいとこで。それで、だんだんと大きい所はやっぱ難しくなってきたんで、今度はあの、一応ボランティアの方がいて、そういうことをやってるボランティアの方がいて、一応話をしてみたら、あの、子ども向けの、障害者向け、障害者が集まるような、子どもが集まる所があるんですって。そこに行ってやったらっていう話になって、そこで今度やろうかなっていうの、思ってます。
resource/kanjakai	df04	―― あと、先ほど家族会に、その病院が主催されているというか、後援されてる家族会に通われてるっていう話があったんですが、その家族会のメリットっていうのは、どんなふうに感じてらっしゃいますか。ええと、まずは病院の家族会に関していうと、あの一応、先生も参加するんです。大学の先生も。先生と、あと臨床心理士と、あと家族。それからあの一応、病院でいろんな時間的な制約あるんで聞けないような、いろんな医療的な情報とか、今の日本で行われているような治験情報とか、あとはやっぱ認知症関係のそういう新しい情報を、そこでまず先生が教えてくれるっていうことと、あと、質問はできるんですね、自由にね。やっぱりあの、病室だとやっぱり、限られてる時間で、やっぱりいろいろ制約があるんで、家族会でいろいろ情報を教えてもらえます。それと、あとやっぱりあのー家族同士の、まあ情報交換とか、今度やっぱりあの、介護に関してのね、病院ていうのは介護の方に関しては、やっぱりちょっとノータッチなんで、介護に関しての、｢こんな介護したら、うまくいった｣とか、｢こういうふうなケアをしたら、うまくいった｣という情報の交換とかも、結構、活発に情報交換できてます。
resource/service	df04	生活が、やっぱり変わってきたのは、ええと、診断を受けてから3、4年たったごろからだと思いますけども。だんだんやっぱ家事ができなくなったっていうことと、それにつれて家事がやっぱできなくなると、やっぱどうしても私が、帰りは早く帰ってきたりとかしないと駄目になってたんで。そのやっぱ3〜4年たったごろから、あのヘルパーさん、家事援助のヘルパーさんを使うとか、あとはデイサービスをちょっと使い出したのが、やっぱりその、診断4年後ぐらいからなんですね。やっぱり、いろんな障害がちょっと顕著になってきて、やっぱ一人で、ちょっといろんなことが難しくなってきた時期が、診断受けて4年後ぐらいからなんで、そのころからいろんな公的な支援を受けるようになりました。
resource/service	df04	うーんとですね、困る…まあ、細かいいろんな何か、あの、日常の介助っていうのは、もちろん必要なんですけども、まあ家事の、家事全般で、最初、僕、一番困ったのは料理なんですけども、料理の経験あまりなかったんで、やっぱり最初は困りました。で、あまりにも困ったんで、やっぱりヘルパーさんを使い出して、料理の、料理介助の。だから、ええと今、料理介助というか、家事、料理介助がメインなんですけども、それが週3回使ってるのが料理です、全部。一緒に、まあ女房は一緒に料理しながら、お昼と、私の夕食分を一緒に作ってる感じじゃないかな。あとは、困る…、うーん、そうですね。そういう介護の面に関しては、まあ困るっていうほどではないんですけれども……、まあいろいろ、そうですね、困るってほどではないけど、ま、困りますね（笑）。―― えっと、お料理以外にも？まあ洗濯、掃除、家事援助。家事の、掃除、洗濯、料理ですけども。あとはまあ、あとはお風呂のまあ介助とか、要するに日常の歯みがき、まあ細かいこと言うと、歯みがきやって、お風呂の介助して、あとはそういうのですね、大体。―― それはご主人が…やってます？そうです、はい。私が全部やってます。―― で、お料理に関しては、あの奥さまと一緒になりながら…ヘルパーさんが、まあやるってことと、それ以外は私が全部やってます。週4日は私で、ヘルパーさんが週3日やってます。―― お料理上手になられましたか？ならないですね（笑）。―― ならないですか？はい（笑）。あとは、週1回は、ガイドヘルパーさんていうのがおりまして、あの、それは障害者向けのヘルパーさんなんですけども。その人があの、スポーツクラブに連れてってくれてます、毎週。週の間で。スポーツクラブにま、行って、やっぱプールに行くんですけども。それであとは、途中でちょっと、それをプール以外にも、一応映画見に行ったりとか、そういう援助もしてもらってます。で、週末は私とプール行くんで、大体週に2日、プールに今通っています。
resource/tutaeru	df04	女房が認知症の診断受けて、治療受けながら、おかあさんの看病するっていうのは、やっぱ相当、精神的にも結構しんどかったというのがありまして。あの、亡くなった時の葬儀にもやっぱ、ちょっとやっぱり出席ができなかったんです。ショックで。もう疲れと、ショックで、寝込んでしまいまして。それで、その翌日…、そうか通夜には出られなくて、告別式には一応出席ができたんですけども、その時、親せきがまあ一応、関西から、ほとんど関西なんで、皆さん関西からみんな見えられて。で、その葬儀の後に女房が一応あいさつするんですけども、あいさつして、自分がアルツハイマーになったということを一応みんなに、まあ話をしたのが、初めて皆さんに話をしたんですけども、その時に。で、自分が病気だったんで、なかなか思うような看護ができなかったっていうことを話をして、その時私に、全然そういう話はなくて、いきなりそういう話をして。だから皆さんが驚いたんですよね。親せきの方々とか、まあ兄弟も含めて驚いて。だから、亡くなったおかあさんの話よりも、女房の病気の話、僕にいろんな質問があって。｢どういう病気なの｣とか、｢今どうだ｣とかいうのをいろんな質問されました。―― 何かそのことによって、そのご親せきとの付き合い方が変わったとか、そういうことは？ないですね。ないです。それはそうです、ないですね、まったく。あとは友達にも、皆さんにはやっぱり一応、親しい友達には全部、電話とか郵便で病気をお知らせしました。
to-be-patient/message	df04	私は、ちょっとやっぱり最初のころ、ためらってたんですけども。女房の方が、そういうのは結構、積極的に話をしたいと。やっぱりあの、同じような病気の人とか、やっぱり早期発見のために、自分が何かできるっていうのがあれば話をしたいというのが、やっぱり最初のころの考えだったようです。―― まあ精神的に、こう、メンタルでかなり、ダウンされてた(落ち込んでいた)という時期に、アルツハイマーというふうな的確な診断があれば、そのおかあさんの介護も含めて何か変わったという、そういう思いというのはおありなんでしょうか。うーんと…、それとは違うのかなあという。よく、その辺はよく分からないんですけども…、うん。それにしても、あのやっぱり７、８年前は今以上にやっぱりまだ、若年性に対しては、偏見みたいなのはあったと思うんですよね、今以上に。うちのもそうだったんですが、まあ嫌な思いというのはあんまりしてないんですけども、同情は結構されてましたね、やっぱりね。｢こんなに若いのに、かわいそうにね｣とか、そういうのは結構、親せきの方とか、あとはあの結構、介護、自分の両親を介護された方からは、結構逆にそういうふうな、割と同情されるようなことはありました。それは結構逆に、やっぱり、あの女房にとっては割とショック、同情されるのがやっぱりショックで、同情されればされるほど、もうちょっと外に向かって、というのがあるのかなという気がします。
to-be-patient/shigoto	df04	一番早くできなくなったのは仕事ですので、だから仕事はもう、７年、８年、７、８年前にはもうできなくなりましたね。―― あの、どのようなお仕事ですか？ええとね、ポップアップ絵本を、立案とデザイン。そういうのをやってましたけども。―― するとやっぱり、空間認識ができなくなったりするのって、結構影響が。そうなんですよね。だから、それは早く障害が出てきた、出てきて…そうですね、それはもうやっぱり…飛び出す絵本とか、ペーパークラフトの方の仕事が、あの一応、専門だったんで、それができなくなったのがやっぱり早かったのかなと思います。
to-be-carer/kimoti	df04	（妻が診断されたのは）50歳の時ですね、はい。―― ですよね。そんなふうに診断を受けて、どんな、どのように感じられましたか。ええとね、びっくりしました。非常にびっくりしたということと、7年、7、8年前ですので、まだあんまり、まだ、あの、特に若年性アルツハイマー病に関しての情報もまだ乏しいころで、なかなか…よく分からない部分もまだあったと思うんですけども。（受け入れるのが）難しい…難しく、すごくやっぱりショックで、いろいろ先生とも、これからどうするかという、まあ、治療方針とか、「リハビリをやってく中でそれじゃあ、ちょっと様子を見てこうか」ということで、話し合いましたけれども。びっくり、まあもちろん、びっくり以上にやっぱりどうしようかと。どうしていいか、どうやったら、（少しでもよくなるのか）私、もうそういうふうに、だから、ま、ネットで調べてたころなんで、もうあと6、7年しか生きられないってなったら、どうしようかと思って。もう……びっくりという以上、びっくりじゃないんですね、やっぱりもうね。「どうしようか｣ってところを毎日考え。…毎日、ほんとに、仕事も手につかない状態で。なに、どうしたら、進行を少しでも止められるのかな、とかばっかり考えているころで……。そればっかり毎日、毎日毎日（考えていて）やっぱり仕事、もちろん仕事もほとんど、まあもちろん会社には行ってましたけども、仕事は手につかないし、どう、ほんとにいろんなこと調べても、なかなかよく分からないし。ただ、出てくるのは、やっぱ6、7年とか、7、8年っていうばっかりで、そういう、もう寿命年数ひっくり返したような情報ばっかりで…焦って。まあ焦ったっていうのかな、焦りました、ほんとに。
to-be-carer/work	df04	―― ご主人として、やはりどうしてもその、奥さま中心の生活にならざるを得ないところあるかと思うんですけど、何かこうご自身でストレスがたまったりとか、そういうことってないんでしょうか。ええとですね、今まであの、僕、東京で仕事やってたんで、24時間一緒の生活やってなかったんですよ。で、一応先月から、まあ24時間の生活始めてみて、東京で仕事やってる時は、仕事が結構やっぱり気分転換になったんで、ストレス発散できたんですよね。あとは、たまにまあ、酒も飲んだりして帰ってきたんで。ただ、あのやっぱり24時間、先月からいると、｢ああ、少しやっぱりストレスもたまるのかな｣って思ってます。それと、今はまあ仕事やってないんですけども、あの、やっぱ帰り、僕の場合はまだそうでもないんですけど、やっぱり毎日ここで、1日ここで家ん中で家事とかやってると、もう社会性が僕にもなくなってくるような気がして、それがちょっと怖くなって。たぶん、そういうふうになっていくのかなと、何もしないと。あんまり外へ出て、ほかの人としゃべる、話したりすることもないんで。だんだん、本人以上に、私の方が孤立しそうな感じをします。で、もしかすると、24時間介護してる人というのはやっぱり、だんだんと介護する人の方がやっぱり孤立する場合もあろうかな、と感じてます。
to-be-carer/sinkou	df04	あの、やっぱ進行によってちょっと違う障害が出てきまして。それ、神経症状、ちょっと、以前なかったような神経症状が出てきて、ちょっとそれが、去年ごろからちょっと顕著になってきて、それをまた新しい薬を今飲んでます。その神経症状に対する薬を飲んでます。その・・・。―― 神経症状っていいますと？あの、歩けなくなるんです。去年の暮れごろから、歩けない。要するに、関節に力が入らなくなってきちゃって。歩けないとか、立ち上がれなくなったのが、去年ごろから出始めて、そのための薬を今飲んでます。その、改善するための。　―― それはあの、例えば、座ってるところから立ち上がろうとするとか、あるいは寝てるところから起き上がろうとするとか、どういう時？そうです。ケース・バイ・ケースで全部それ、要するにあの、関節に力が入らないらしくて、あの、ま、立ち上がれない。ま、寝ててとか、座ってる時でも、立ち上がろうとした時にちゃんと立ち上がれないとか。あとは歩けないとか。急にそれが起きてくるんで、それで、それが大体、去年の暮れごろから始まって、今年の春ぐらいまで続いてました。―― 今年の春ぐらいまでということは、その一応、その治療法によって、効果が・・・。最初は治療をしなかったんです。それほど、あの、ひどくなかったんですけども、だんだんとひどくなってきて。で、今は薬飲んで。薬飲み始めてからは改善されました、ほとんど。だから、それはま、認知症薬、ま、認知症の進行止めるんじゃなくて、そのやっぱり進行につれて、ま、多少違う障害が出てきたということで。身体的なってことで、歩行困難。まあ、歩行困難とちょっと違うんですけども、それが出てきました。
